worker_id,date,daily_earnings,tier,day_of_week,zone_demand_factor,seasonal_multiplier,avg_weekly_earnings_4w
W0001,2025-02-01,1432.78,2,5,1.19,0.88,1361.14
W0001,2025-02-02,1515.62,2,6,1.21,0.89,1432.78
W0001,2025-02-03,1460.59,2,0,1.19,1.04,1474.2
W0001,2025-02-04,1720.67,2,1,1.29,1.02,1469.66
W0001,2025-02-05,1227.36,2,2,1.2,0.84,1532.42
W0001,2025-02-06,1297.34,2,3,0.98,1.12,1471.4
W0001,2025-02-07,1056.97,2,4,1.09,0.81,1442.39
W0001,2025-02-08,1210.64,2,5,1.01,0.85,1387.33
W0001,2025-02-09,1323.87,2,6,1.02,0.94,1365.25
W0001,2025-02-10,1462.39,2,0,1.11,1.09,1360.65
W0001,2025-02-11,1567.12,2,1,1.25,1.06,1370.82
W0001,2025-02-12,1248.85,2,2,0.82,1.2,1388.67
W0001,2025-02-13,1481.54,2,3,1.22,0.97,1377.02
W0001,2025-02-14,1469.37,2,4,1.02,1.16,1385.06
W0001,2025-02-15,1102.12,2,5,0.96,0.86,1391.08
W0001,2025-02-16,1513.72,2,6,1.16,0.95,1371.82
W0001,2025-02-17,1059.64,2,0,0.95,1.0,1380.68
W0001,2025-02-18,1131.61,2,1,0.86,1.06,1361.8
W0001,2025-02-19,1552.95,2,2,1.24,1.02,1349.01
W0001,2025-02-20,1403.7,2,3,1.24,0.97,1359.74
W0001,2025-02-21,1388.39,2,4,1.21,0.96,1361.94
W0001,2025-02-22,1201.23,2,5,0.96,0.9,1363.2
W0001,2025-02-23,1603.17,2,6,1.14,0.99,1355.84
W0001,2025-02-24,1360.97,2,0,1.17,0.95,1366.59
W0001,2025-02-25,917.93,2,1,0.87,0.82,1366.36
W0001,2025-02-26,1295.99,2,2,1.14,0.96,1348.42
W0001,2025-02-27,1657.38,2,3,1.24,1.18,1346.4
W0001,2025-02-28,968.1,2,4,0.83,0.92,1357.92
W0002,2025-02-01,555.68,0,5,0.96,0.84,527.9
W0002,2025-02-02,791.66,0,6,1.22,0.94,555.68
W0002,2025-02-03,438.33,0,0,0.86,0.91,673.67
W0002,2025-02-04,711.69,0,1,1.08,1.11,595.22
W0002,2025-02-05,589.02,0,2,1.11,1.07,624.34
W0002,2025-02-06,647.31,0,3,1.13,1.08,617.28
W0002,2025-02-07,414.19,0,4,0.81,0.91,622.28
W0002,2025-02-08,431.49,0,5,0.98,0.87,592.55
W0002,2025-02-09,635.45,0,6,1.13,0.83,572.42
W0002,2025-02-10,555.21,0,0,1.07,0.95,579.42
W0002,2025-02-11,470.47,0,1,1.03,0.86,577.0
W0002,2025-02-12,767.44,0,2,1.27,1.04,567.32
W0002,2025-02-13,586.97,0,3,1.24,0.86,584.0
W0002,2025-02-14,436.79,0,4,0.84,0.98,584.22
W0002,2025-02-15,688.8,0,5,1.01,1.04,573.69
W0002,2025-02-16,587.33,0,6,0.97,0.84,581.37
W0002,2025-02-17,598.38,0,0,1.1,1.01,581.74
W0002,2025-02-18,614.73,0,1,1.29,0.82,582.72
W0002,2025-02-19,593.35,0,2,0.9,1.18,584.5
W0002,2025-02-20,354.97,0,3,0.94,0.85,584.96
W0002,2025-02-21,602.62,0,4,1.05,0.97,573.46
W0002,2025-02-22,653.76,0,5,0.92,1.02,574.85
W0002,2025-02-23,564.66,0,6,0.98,0.96,578.44
W0002,2025-02-24,451.31,0,0,0.84,0.93,577.84
W0002,2025-02-25,506.96,0,1,1.01,0.96,572.57
W0002,2025-02-26,622.62,0,2,1.0,1.19,569.94
W0002,2025-02-27,503.52,0,3,0.89,1.18,571.97
W0002,2025-02-28,541.81,0,4,0.98,0.97,569.43
W0003,2025-02-01,908.97,1,5,0.85,0.97,863.52
W0003,2025-02-02,1101.23,1,6,1.17,0.89,908.97
W0003,2025-02-03,717.48,1,0,0.84,1.05,1005.1
W0003,2025-02-04,944.54,1,1,1.19,0.94,909.23
W0003,2025-02-05,1167.24,1,2,1.28,1.06,918.06
W0003,2025-02-06,706.38,1,3,0.93,0.87,967.89
W0003,2025-02-07,932.2,1,4,0.88,1.1,924.31
W0003,2025-02-08,1158.24,1,5,1.11,0.99,925.43
W0003,2025-02-09,1088.31,1,6,1.09,1.07,954.54
W0003,2025-02-10,856.22,1,0,0.96,1.19,969.4
W0003,2025-02-11,730.38,1,1,0.96,0.98,958.08
W0003,2025-02-12,1074.51,1,2,1.2,1.04,937.38
W0003,2025-02-13,677.94,1,3,0.98,0.83,948.81
W0003,2025-02-14,761.33,1,4,0.98,0.91,927.97
W0003,2025-02-15,1261.91,1,5,1.12,1.19,916.07
W0003,2025-02-16,1273.54,1,6,1.09,1.18,939.13
W0003,2025-02-17,779.45,1,0,0.82,1.16,960.03
W0003,2025-02-18,920.95,1,1,1.1,1.0,949.4
W0003,2025-02-19,1101.86,1,2,1.28,0.98,947.82
W0003,2025-02-20,821.7,1,3,1.29,0.83,955.93
W0003,2025-02-21,740.26,1,4,1.12,0.82,949.22
W0003,2025-02-22,948.3,1,5,1.06,1.04,939.27
W0003,2025-02-23,1203.68,1,6,1.26,0.95,939.68
W0003,2025-02-24,870.57,1,0,1.12,0.93,951.16
W0003,2025-02-25,803.49,1,1,0.96,1.02,947.8
W0003,2025-02-26,1269.06,1,2,1.23,1.19,942.03
W0003,2025-02-27,868.44,1,3,1.1,0.86,954.61
W0003,2025-02-28,1021.49,1,4,1.26,0.92,951.41
W0004,2025-02-01,758.82,0,5,1.13,1.06,720.88
W0004,2025-02-02,716.34,0,6,1.08,1.06,758.82
W0004,2025-02-03,672.72,0,0,0.86,1.08,737.58
W0004,2025-02-04,526.25,0,1,1.26,0.84,715.96
W0004,2025-02-05,669.7,0,2,1.14,1.0,668.53
W0004,2025-02-06,666.67,0,3,1.28,0.94,668.77
W0004,2025-02-07,600.13,0,4,1.18,0.88,668.42
W0004,2025-02-08,690.53,0,5,0.95,1.12,658.66
W0004,2025-02-09,710.14,0,6,1.07,1.1,662.64
W0004,2025-02-10,547.94,0,0,1.11,1.04,667.92
W0004,2025-02-11,396.48,0,1,0.88,0.87,655.92
W0004,2025-02-12,683.84,0,2,1.25,1.09,632.34
W0004,2025-02-13,403.35,0,3,0.82,0.95,636.63
W0004,2025-02-14,541.8,0,4,1.11,1.1,618.69
W0004,2025-02-15,761.25,0,5,1.19,0.89,613.19
W0004,2025-02-16,695.11,0,6,1.25,0.88,623.06
W0004,2025-02-17,598.08,0,0,1.09,0.98,627.57
W0004,2025-02-18,474.06,0,1,1.05,0.97,625.83
W0004,2025-02-19,345.53,0,2,0.88,0.88,617.4
W0004,2025-02-20,389.85,0,3,0.83,0.99,603.09
W0004,2025-02-21,622.6,0,4,0.99,1.17,592.43
W0004,2025-02-22,396.94,0,5,0.86,0.83,593.87
W0004,2025-02-23,766.38,0,6,1.02,1.01,584.92
W0004,2025-02-24,825.18,0,0,1.21,1.15,592.8
W0004,2025-02-25,639.04,0,1,1.27,0.97,602.49
W0004,2025-02-26,481.24,0,2,0.99,0.83,603.95
W0004,2025-02-27,529.8,0,3,0.91,0.93,599.23
W0004,2025-02-28,504.99,0,4,0.97,0.86,596.66
W0005,2025-02-01,1388.14,2,5,0.82,1.17,1318.73
W0005,2025-02-02,1483.75,2,6,1.03,1.05,1388.14
W0005,2025-02-03,935.13,2,0,0.81,0.89,1435.95
W0005,2025-02-04,1376.21,2,1,1.1,0.97,1269.01
W0005,2025-02-05,1311.81,2,2,1.19,0.9,1295.81
W0005,2025-02-06,1436.77,2,3,1.12,1.05,1299.01
W0005,2025-02-07,1063.51,2,4,0.83,1.13,1321.97
W0005,2025-02-08,1647.41,2,5,1.12,1.03,1285.05
W0005,2025-02-09,1037.96,2,6,0.95,0.8,1330.34
W0005,2025-02-10,1355.73,2,0,1.13,1.01,1297.85
W0005,2025-02-11,1303.17,2,1,0.98,1.18,1303.64
W0005,2025-02-12,996.58,2,2,1.05,0.81,1303.6
W0005,2025-02-13,1183.53,2,3,1.24,0.82,1278.01
W0005,2025-02-14,1351.29,2,4,1.17,0.94,1270.75
W0005,2025-02-15,1110.27,2,5,0.83,0.9,1276.5
W0005,2025-02-16,1448.24,2,6,1.18,0.85,1265.42
W0005,2025-02-17,1270.6,2,0,0.97,1.06,1276.84
W0005,2025-02-18,1466.04,2,1,1.29,0.99,1276.48
W0005,2025-02-19,882.41,2,2,0.89,0.85,1287.01
