gps_movement_score,deliveries_in_window,claim_frequency_7d,zone_traffic_clear,is_duplicate_event,label
0.219,0,2,0,0,normal
0.116,0,0,0,0,normal
0.061,0,0,0,0,normal
0.3,0,0,0,0,normal
0.032,0,1,0,0,normal
0.165,0,2,0,0,normal
0.187,0,0,0,0,normal
0.024,0,1,0,0,normal
0.01,0,0,0,0,normal
0.063,0,1,0,0,normal
0.244,0,0,0,0,normal
0.032,0,2,0,0,normal
0.149,0,0,0,0,normal
0.177,0,1,0,0,normal
0.229,0,2,0,0,normal
0.124,0,2,0,0,normal
0.031,0,2,0,0,normal
0.227,0,0,0,0,normal
0.228,0,1,0,0,normal
0.205,0,2,0,0,normal
0.293,0,0,0,0,normal
0.217,0,1,0,0,normal
0.03,0,2,0,0,normal
0.085,0,2,0,0,normal
0.14,0,2,0,0,normal
0.099,0,1,0,0,normal
0.276,0,2,0,0,normal
0.036,0,0,0,0,normal
0.287,0,1,0,0,normal
0.067,0,2,0,0,normal
0.05,0,0,0,0,normal
0.007,0,0,0,0,normal
0.167,0,2,0,0,normal
0.26,0,1,0,0,normal
0.157,0,0,0,0,normal
0.142,0,1,0,0,normal
0.18,0,0,0,0,normal
0.215,0,1,0,0,normal
0.034,0,1,0,0,normal
0.032,0,0,0,0,normal
0.166,0,2,0,0,normal
0.033,0,2,0,0,normal
0.141,0,0,0,0,normal
0.039,0,0,0,0,normal
0.203,0,2,0,0,normal
0.19,0,1,0,0,normal
0.075,0,1,0,0,normal
0.232,0,2,0,0,normal
0.059,0,1,0,0,normal
0.251,0,0,0,0,normal
0.134,0,1,0,0,normal
0.168,0,0,0,0,normal
0.27,0,0,0,0,normal
0.055,0,1,0,0,normal
0.164,0,2,0,0,normal
0.217,0,2,0,0,normal
0.11,0,1,0,0,normal
0.14,0,2,0,0,normal
0.009,0,0,0,0,normal
0.195,0,2,0,0,normal
0.26,0,0,0,0,normal
0.24,0,0,0,0,normal
0.064,0,1,0,0,normal
0.289,0,0,0,0,normal
0.291,0,0,0,0,normal
0.117,0,0,0,0,normal
0.237,0,1,0,0,normal
0.181,0,1,0,0,normal
0.165,0,1,0,0,normal
0.078,0,2,0,0,normal
0.142,0,1,0,0,normal
0.24,0,2,0,0,normal
0.205,0,0,0,0,normal
0.131,0,2,0,0,normal
0.036,0,2,0,0,normal
