worker_id,city,zone_risk_score,worker_activity_level,claim_history_count,seasonal_factor,weeks_active,tier
W0001,Delhi,0.12,50,3,0.89,98,1
W0002,Delhi,0.68,26,9,0.97,7,0
W0003,Delhi,0.29,79,9,0.81,29,0
W0004,Jaipur,0.46,72,9,0.91,4,0
W0005,Bangalore,0.69,58,4,0.86,101,1
W0006,Kolkata,0.19,63,1,0.94,48,1
W0007,Lucknow,0.32,20,11,0.98,19,0
W0008,Pune,0.17,52,10,1.05,50,0
W0009,Lucknow,0.26,23,0,1.06,102,1
W0010,Chennai,0.94,44,1,0.95,62,2
W0011,Kolkata,0.24,60,3,1.07,93,1
W0012,Delhi,0.62,36,8,1.09,24,0
W0013,Ahmedabad,0.42,43,10,0.93,102,0
W0014,Mumbai,0.29,19,12,0.93,38,0
W0015,Delhi,0.28,55,3,1.06,54,1
W0016,Ahmedabad,0.22,32,3,1.1,72,0
W0017,Chennai,0.73,69,9,0.96,32,0
W0018,Bangalore,0.53,26,12,0.82,18,0
W0019,Bangalore,0.63,69,9,0.83,52,0
W0020,Lucknow,0.95,47,8,1.14,5,0
W0021,Delhi,0.68,49,12,1.06,18,0
W0022,Chennai,0.47,73,0,1.18,96,2
W0023,Chennai,0.93,37,8,1.17,84,0
W0024,Chennai,0.82,79,9,0.88,51,0
W0025,Bangalore,0.56,15,9,0.93,6,0
W0026,Delhi,0.89,54,3,0.82,76,1
W0027,Delhi,0.17,77,1,1.19,72,2
W0028,Bangalore,0.21,75,8,0.87,71,0
W0029,Lucknow,0.46,42,8,1.1,92,0
W0030,Hyderabad,0.71,66,10,1.06,60,0
W0031,Jaipur,0.48,46,3,0.83,6,0
W0032,Lucknow,0.57,43,0,0.83,84,2
W0033,Mumbai,0.29,19,5,0.83,34,0
W0034,Chennai,0.67,42,8,0.85,77,0
W0035,Lucknow,0.5,75,12,0.96,16,0
W0036,Delhi,0.66,60,6,0.96,97,1
W0037,Mumbai,0.67,27,0,0.96,47,1
W0038,Delhi,0.31,39,8,0.98,58,0
W0039,Bangalore,0.34,46,1,0.98,74,1
W0040,Delhi,0.14,16,1,1.17,34,0
W0041,Bangalore,0.45,76,3,1.15,11,1
W0042,Bangalore,0.42,64,4,1.17,104,1
W0043,Ahmedabad,0.34,77,2,0.88,31,2
W0044,Mumbai,0.59,22,11,0.93,10,0
W0045,Lucknow,0.51,35,0,1.18,14,1
W0046,Bangalore,0.16,23,10,1.14,55,0
W0047,Delhi,0.9,46,9,1.04,83,0
W0048,Delhi,0.46,55,4,0.88,95,1
W0049,Kolkata,0.3,65,2,1.07,42,1
W0050,Ahmedabad,0.37,24,0,0.98,76,1
W0051,Delhi,0.16,42,8,0.91,48,0
W0052,Delhi,0.85,62,4,0.86,73,1
W0053,Chennai,0.62,16,10,1.13,42,0
W0054,Delhi,0.9,32,4,0.85,17,0
W0055,Jaipur,0.23,51,9,0.88,47,0
W0056,Hyderabad,0.68,48,8,1.0,10,0
W0057,Delhi,0.64,50,0,0.8,102,2
W0058,Bangalore,0.64,48,2,1.1,74,1
W0059,Pune,0.58,29,1,1.18,92,1
W0060,Bangalore,0.56,62,9,1.02,59,0
W0061,Bangalore,0.14,61,12,1.19,9,0
W0062,Kolkata,0.28,46,10,0.84,103,0
W0063,Jaipur,0.85,67,9,1.1,34,0
W0064,Bangalore,0.93,37,6,0.81,98,0
W0065,Kolkata,0.77,67,12,1.07,98,0
W0066,Hyderabad,0.33,28,6,1.15,64,0
W0067,Hyderabad,0.27,73,5,0.92,33,1
W0068,Hyderabad,0.12,39,6,0.93,12,0
W0069,Chennai,0.4,80,6,1.07,72,1
W0070,Kolkata,0.9,29,4,0.87,37,0
W0071,Mumbai,0.19,70,5,1.09,44,1
W0072,Pune,0.62,80,1,0.95,77,2
